class,description,prevention,supplement
Apple___Apple_scab,Fungal disease causing dark scabby lesions on apple leaves and fruit.,Remove fallen leaves. Apply fungicide sprays. Plant resistant varieties.,Captan Fungicide
Apple___Black_rot,Fungal disease causing brown rotting of fruit and leaf spots.,Prune infected branches. Apply copper-based fungicides. Ensure good air circulation.,Copper Fungicide
Apple___Cedar_apple_rust,Fungal disease causing orange rust spots on apple leaves and fruit.,Remove nearby cedar trees. Apply fungicide in spring. Plant resistant varieties.,Rust Protection Spray
Apple___healthy,The apple plant is healthy with no visible signs of disease.,Water regularly. Ensure proper sunlight. Apply balanced fertilizer seasonally.,Multi-Nutrient Fertilizer
Blueberry___healthy,The blueberry plant is healthy with no visible signs of disease.,Maintain acidic soil pH 4.5-5.5. Mulch around base. Prune dead canes annually.,Acidic Fertilizer
Cherry_(including_sour)___Powdery_mildew,Fungal disease causing white powdery coating on cherry leaves.,Improve air circulation. Avoid overhead watering. Apply sulfur-based fungicide.,Sulfur Fungicide
Cherry_(including_sour)___healthy,The cherry plant is healthy with no visible signs of disease.,Prune for airflow. Water at base. Monitor for pests regularly.,Fruit Tree Spray
Corn_(maize)___Cercospora_leaf_spot Gray_leaf_spot,Fungal disease causing gray rectangular lesions on corn leaves.,Rotate crops. Plant resistant hybrids. Apply fungicide at early symptoms.,Mancozeb Fungicide
Corn_(maize)___Common_rust_,Fungal disease causing reddish-brown pustules on corn leaves.,Plant rust-resistant hybrids. Apply fungicide early. Avoid dense planting.,Propiconazole Spray
Corn_(maize)___Northern_Leaf_Blight,Fungal disease causing large cigar-shaped lesions on corn leaves.,Use resistant varieties. Rotate crops. Apply foliar fungicide.,Azoxystrobin Fungicide
Corn_(maize)___healthy,The corn plant is healthy with no visible signs of disease.,Ensure proper spacing. Balanced nitrogen fertilization. Monitor soil moisture.,NPK Fertilizer
Grape___Black_rot,Fungal disease causing brown spots and black mummified fruit on grapes.,Remove mummified fruit. Apply fungicide from bud break. Prune for airflow.,Myclobutanil Fungicide
Grape___Esca_(Black_Measles),Fungal vascular disease causing tiger-striped leaves and berry shriveling.,Remove infected wood. Protect pruning wounds. Avoid water stress.,Bordeaux Mixture
Grape___Leaf_blight_(Isariopsis_Leaf_Spot),Fungal disease causing dark angular spots on grape leaves.,Apply copper fungicide. Improve canopy airflow. Remove infected leaves.,Copper Hydroxide Spray
Grape___healthy,The grape vine is healthy with no visible signs of disease.,Train vines properly. Ensure good drainage. Apply balanced fertilizer.,Vine Nutrition Fertilizer
Orange___Haunglongbing_(Citrus_greening),Bacterial disease spread by psyllids causing yellow shoots and misshapen fruit.,Control psyllid insects. Remove infected trees. Use certified disease-free plants.,Citrus Systemic Spray
Peach___Bacterial_spot,Bacterial disease causing small dark spots on peach leaves and fruit.,Apply copper bactericide in fall. Plant resistant varieties. Avoid overhead irrigation.,Copper Bactericide
Peach___healthy,The peach tree is healthy with no visible signs of disease.,Thin fruit early. Fertilize in spring. Monitor for peach leaf curl.,Peach Tree Fertilizer
Pepper,_bell___Bacterial_spot,Bacterial disease causing water-soaked spots on pepper leaves and fruit.,Use disease-free seeds. Apply copper bactericide. Avoid working with wet plants.,Copper Bactericide
Pepper,_bell___healthy,The bell pepper plant is healthy with no visible signs of disease.,Water consistently. Stake plants. Apply calcium fertilizer to prevent blossom drop.,Calcium Fertilizer
Potato___Early_blight,Fungal disease causing dark concentric ring spots on potato leaves.,Rotate crops every 3 years. Apply chlorothalonil fungicide. Remove infected foliage.,Chlorothalonil Spray
Potato___Late_blight,Devastating fungal disease causing rapid brown decay of potato foliage.,Plant certified seed potatoes. Apply mancozeb preventatively. Destroy infected plants.,Mancozeb Fungicide
Potato___healthy,The potato plant is healthy with no visible signs of disease.,Hill soil around stems. Maintain even moisture. Watch for colorado beetle.,Potato Fertilizer
Raspberry___healthy,The raspberry plant is healthy with no visible signs of disease.,Prune old canes after harvest. Mulch for moisture retention. Fertilize in spring.,Berry Fertilizer
Soybean___healthy,The soybean plant is healthy with no visible signs of disease.,Rotate with non-legumes. Monitor for aphids and stink bugs. Inoculate with rhizobia.,Soybean Booster
Squash___Powdery_mildew,Fungal disease causing white powdery coating on squash leaves.,Space plants for airflow. Apply potassium bicarbonate spray. Water at base only.,Potassium Bicarbonate Spray
Strawberry___Leaf_scorch,Fungal disease causing purple-bordered spots on strawberry leaves.,Remove infected leaves. Apply fungicide in spring. Use resistant varieties.,Captan Fungicide
Strawberry___healthy,The strawberry plant is healthy with no visible signs of disease.,Renovate beds after harvest. Apply balanced fertilizer. Use straw mulch.,Strawberry Fertilizer
Tomato___Bacterial_spot,Bacterial disease causing small water-soaked spots on tomato leaves and fruit.,Use copper bactericide spray. Avoid overhead watering. Use disease-free transplants.,Copper Bactericide
Tomato___Early_blight,Fungal disease causing dark spots with concentric rings on lower tomato leaves.,Remove lower leaves. Apply chlorothalonil fungicide. Stake plants for airflow.,Chlorothalonil Spray
Tomato___Late_blight,Serious fungal disease causing water-soaked lesions on tomato foliage.,Apply mancozeb preventatively. Remove and destroy infected plants.,Mancozeb Fungicide
Tomato___Leaf_Mold,Fungal disease causing pale green to yellow spots on upper tomato leaf surfaces.,Improve greenhouse ventilation. Reduce humidity. Apply fungicide spray.,Fungicide Spray
Tomato___Septoria_leaf_spot,Fungal disease causing small circular spots with dark borders on tomato leaves.,Remove infected leaves. Apply chlorothalonil. Practice crop rotation.,Chlorothalonil Spray
Tomato___Spider_mites Two-spotted_spider_mite,Arachnid pest causing stippled yellowing on tomato leaves with fine webbing.,Apply neem oil or insecticidal soap. Increase humidity. Introduce predatory mites.,Neem Oil Spray
Tomato___Target_Spot,Fungal disease causing brown spots with concentric rings on tomato foliage.,Apply azoxystrobin fungicide. Maintain plant spacing. Remove infected debris.,Azoxystrobin Fungicide
Tomato___Tomato_Yellow_Leaf_Curl_Virus,Viral disease spread by whiteflies causing leaf curling and yellowing in tomatoes.,Control whiteflies with insecticidal soap. Use reflective mulch. Plant resistant varieties.,Whitefly Control Spray
Tomato___Tomato_mosaic_virus,Viral disease causing mottled yellow-green mosaic patterns on tomato leaves.,Remove infected plants. Disinfect tools. Control aphid vectors.,Insecticidal Soap
Tomato___healthy,The tomato plant is healthy with no visible signs of disease.,Water at base. Stake or cage plants. Fertilize with tomato-specific fertilizer.,Tomato Fertilizer
